Row F4:92:BF:5D:7C:63 F4:92:BF:5D:7C:8F F4:92:BF:5D:7C:70 F4:92:BF:5D:80:1C 48:27:E2:84:3C:ED 48:27:E2:84:3D:2D 48:27:E2:84:3D:41 48:27:E2:84:3D:01 48:27:E2:84:3C:F9 00:00:00:00:00:00 X Y
30 -51 -39 -67 -107 -62 -65 -46 -52 -50 28 4 1
31 -42 -48 -64 -102 -55 -56 -51 -67 -46 35 5 1
32 -49 -45 -66 -108 -61 -58 -57 -63 -51 72 6 1
33 -47 -53 -70 -110 -64 -53 -55 -55 -49 81 7 1
34 -44 -50 -60 -106 -62 -52 -41 -57 -52 42 8 1
35 -37 -55 -54 -102 -61 -45 -50 -50 -49 30 9 1
36 -27 -54 -57 -99 -65 -52 -37 -62 -62 29 10 1
37 -35 -47 -58 -94 -63 -43 -46 -53 -51 31 11 1
38 -37 -55 -72 -104 -68 -56 -49 -52 -64 43 12 1
39 -39 -52 -58 -98 -70 -44 -51 -47 -65 30 13 1
40 -44 -55 -64 -98 -66 -45 -58 -54 -62 33 14 1
41 -47 -60 -59 -92 -67 -41 -58 -45 -60 35 15 1
42 -43 -57 -61 -92 -72 -44 -56 -50 -63 86 16 1
43 -48 -56 -68 -91 -76 -46 -54 -59 -55 144 17 1
44 -58 -59 -65 -83 -76 -52 -56 -42 -66 40 18 1
45 -58 -59 -57 -85 -69 -45 -51 -47 -58 40 19 1
46 -51 -55 -63 -85 -72 -57 -55 -53 -62 35 20 1
47 -51 -59 -60 -80 -77 -50 -64 -45 -71 46 21 1
48 -50 -61 -64 -90 -77 -52 -59 -50 -74 13 22 1
49 -55 -62 -68 -95 -71 -62 -59 -45 -68 22 23 1
50 -59 -62 -67 -78 -84 -60 -63 -52 -62 16 24 1
51 -67 -63 -61 -87 -75 -60 -61 -54 -65 20 25 1
52 -55 -38 -73 -103 -62 -65 -72 -60 -48 32 0 2
53 -54 -47 -63 -105 -57 -59 -56 -53 -47 19 1 2
54 -54 -36 -67 -105 -59 -61 -57 -63 -41 61 2 2
55 -47 -46 -60 -102 -59 -54 -55 -60 -50 19 3 2
56 -52 -44 -62 -96 -61 -57 -50 -59 -42 30 4 2
57 -52 -43 -61 -100 -56 -62 -54 -61 -40 34 5 2
58 -40 -50 -52 -103 -59 -62 -59 -55 -42 7 6 2
59 -52 -52 -70 -104 -59 -62 -50 -58 -54 83 7 2
60 -43 -50 -66 -107 -64 -50 -42 -55 -48 39 8 2
61 -31 -51 -54 -106 -57 -45 -30 -54 -51 28 9 2
62 -30 -48 -54 -98 -55 -46 -39 -54 -52 31 10 2
63 -37 -50 -61 -99 -70 -56 -46 -53 -56 35 11 2
64 -36 -58 -59 -102 -81 -43 -65 -50 -60 40 12 2
65 -36 -62 -65 -106 -73 -43 -60 -54 -62 34 13 2
66 -44 -53 -54 -97 -67 -41 -46 -66 -55 38 14 2
67 -49 -56 -58 -92 -74 -44 -52 -51 -58 37 15 2
68 -50 -56 -57 -105 -69 -46 -51 -46 -63 33 16 2
69 -43 -59 -54 -100 -70 -49 -55 -52 -60 67 17 2
70 -56 -61 -61 -102 -73 -49 -50 -39 -63 34 18 2
71 -50 -56 -58 -96 -65 -50 -57 -43 -58 41 19 2
72 -50 -55 -62 -82 -74 -56 -58 -49 -64 39 20 2
73 -63 -54 -57 -88 -72 -52 -58 -48 -65 37 21 2
74 -58 -65 -68 -84 -81 -51 -63 -47 -62 30 22 2
75 -51 -64 -59 -90 -71 -56 -62 -53 -62 31 23 2
76 -57 -63 -73 -85 -78 -55 -62 -67 -63 17 24 2
77 -59 -61 -66 -83 -89 -54 -61 -58 -77 39 25 2
78 -46 -35 -66 -104 -63 -64 -49 -63 -43 34 0 3
79 -52 -40 -68 -108 -61 -62 -62 -67 -43 32 1 3
80 -47 -47 -62 -107 -57 -63 -61 -67 -44 32 2 3
81 -55 -47 -66 -103 -53 -56 -52 -62 -41 26 3 3
82 -45 -44 -68 -101 -53 -55 -52 -62 -43 32 4 3
83 -43 -47 -63 -102 -61 -60 -44 -70 -46 36 5 3
84 -47 -46 -60 -104 -52 -53 -49 -62 -48 27 6 3
85 -44 -46 -61 -99 -60 -56 -49 -60 -56 31 7 3
86 -39 -44 -68 -103 -60 -66 -45 -67 -46 37 8 3
87 -34 -46 -58 -105 -56 -56 -33 -52 -49 32 9 3
88 -37 -48 -56 -97 -57 -57 -60 -52 -56 33 10 3
89 -35 -48 -55 -93 -74 -48 -42 -60 -48 29 11 3
90 -38 -55 -63 -99 -63 -40 -49 -59 -49 40 12 3
91 -42 -55 -68 -98 -65 -45 -55 -55 -52 38 13 3
92 -36 -56 -53 -100 -63 -41 -50 -46 -61 38 14 3
93 -44 -56 -63 -100 -64 -39 -49 -48 -64 40 15 3
94 -47 -51 -56 -88 -66 -46 -56 -46 -58 39 16 3
95 -51 -50 -55 -94 -70 -47 -57 -49 -60 38 17 3
96 -49 -59 -55 -90 -74 -71 -54 -45 -64 40 18 3
97 -53 -53 -60 -90 -70 -49 -57 -47 -71 40 19 3
98 -56 -54 -59 -86 -75 -55 -59 -46 -63 40 20 3
99 -53 -57 -64 -86 -79 -62 -56 -52 -59 37 21 3
100 -54 -59 -63 -100 -79 -54 -58 -46 -60 36 22 3
101 -58 -56 -69 -92 -71 -54 -62 -51 -58 33 23 3
102 -59 -59 -69 -77 -80 -63 -65 -60 -58 11 24 3
103 -55 -57 -71 -80 -72 -56 -59 -49 -64 27 25 3
104 -47 -35 -91 -108 -56 -53 -56 -69 -42 44 0 4
105 -54 -40 -69 -107 -67 -63 -68 -56 -34 35 1 4
106 -49 -47 -63 -108 -71 -62 -49 -73 -8 53 2 4
107 -49 -35 -64 -109 -64 -57 -52 -53 -42 27 3 4
108 -47 -38 -61 -106 -56 -52 -53 -56 -45 37 4 4
109 -50 -42 -66 -103 -68 -56 -48 -64 -48 39 5 4
110 -46 -49 -68 -103 -60 -54 -51 -59 -52 30 6 4
111 -44 -49 -58 -107 -76 -50 -55 -57 -58 29 7 4
112 -45 -51 -63 -107 -57 -48 -51 -57 -52 31 8 4
113 -43 -49 -59 -95 -58 -66 -53 -51 -62 32 9 4
114 -36 -49 -58 -104 -61 -43 -43 -51 -56 33 10 4
115 -34 -54 -56 -90 -64 -48 -51 -50 -57 33 11 4
116 -46 -54 -59 -106 -65 -47 -63 -50 -54 38 12 4
117 -35 -63 -61 -109 -70 -44 -50 -49 -51 38 13 4
118 -50 -56 -59 -101 -67 -43 -45 -43 -64 40 14 4
119 -45 -55 -56 -86 -78 -41 -59 -42 -55 44 15 4
120 -43 -54 -58 -85 -64 -44 -51 -43 -63 43 16 4
121 -44 -53 -57 -80 -68 -47 -56 -39 -63 40 17 4
122 -46 -57 -64 -87 -69 -44 -53 -39 -64 41 18 4
123 -43 -61 -53 -86 -72 -48 -62 -39 -58 39 19 4
124 -50 -62 -63 -79 -73 -51 -55 -46 -63 41 20 4
125 -52 -62 -58 -81 -77 -51 -56 -43 -57 41 21 4
